robot,lin_vel_max,ang_vel_max,ideal_distance,ideal_distance_tolerance,num_collisions,avg_velocity,avg_distance_wall,correct_percentage_distance_wall,time_taken
robot1,2.0,2.0943951023931953,1.6,0.3,0,1.31,1.83,33.05,53.25
robot2,2.0,2.0943951023931953,1.6,0.3,0,1.66,1.92,29.63,40.58
robot1,2.0,2.0943951023931953,1.6,0.4,0,1.46,1.80,53.94,50.53
robot2,2.0,2.0943951023931953,1.6,0.4,0,1.79,1.93,38.81,37.97
robot1,2.0,2.0943951023931953,1.6,0.5,0,1.61,1.78,75.27,45.92
robot2,2.0,2.0943951023931953,1.6,0.5,0,1.86,1.88,65.26,35.88
robot1,2.0,2.0943951023931953,1.7,0.2,0,1.20,1.94,18.71,61.42
robot2,2.0,2.0943951023931953,1.7,0.2,0,1.44,2.02,15.71,47.58
robot1,2.0,2.0943951023931953,1.7,0.3,0,1.30,1.94,32.33,56.39
robot2,2.0,2.0943951023931953,1.7,0.3,0,1.54,2.00,34.38,44.04
robot1,2.0,2.0943951023931953,1.7,0.4,0,1.51,1.86,60.05,46.77
robot2,2.0,2.0943951023931953,1.7,0.4,0,1.96,1.95,69.57,34.61
robot1,2.0,2.0943951023931953,1.7,0.5,0,1.59,1.85,73.75,46.78
robot2,2.0,2.0943951023931953,1.7,0.5,0,1.85,1.96,59.52,36.35
robot1,2.0,2.0943951023931953,1.8,0.2,0,1.19,2.03,16.89,58.99
robot2,2.0,2.0943951023931953,1.8,0.2,0,1.54,2.08,19.65,44.52
robot1,2.0,2.0943951023931953,1.8,0.3,0,1.29,2.04,31.03,54.68
robot2,2.0,2.0943951023931953,1.8,0.3,0,1.63,2.08,30.25,42.17
robot1,2.0,2.0943951023931953,1.8,0.4,0,1.40,2.00,46.71,50.81
robot2,2.0,2.0943951023931953,1.8,0.4,0,1.82,2.07,51.80,37.93
robot1,2.0,2.0943951023931953,1.8,0.5,0,1.63,1.97,77.66,45.35
robot2,2.0,2.0943951023931953,1.8,0.5,0,1.91,2.12,57.69,34.91
robot1,2.0,3.141592653589793,1.5,0.2,0,1.23,1.76,20.65,54.74
robot2,2.0,3.141592653589793,1.5,0.2,0,1.61,1.77,22.56,40.75
robot1,2.0,3.141592653589793,1.5,0.3,0,1.35,1.75,37.21,49.42
robot2,2.0,3.141592653589793,1.5,0.3,0,1.96,1.71,29.81,37.40
robot1,2.0,3.141592653589793,1.5,0.4,0,1.50,1.70,57.22,44.78
robot2,2.0,3.141592653589793,1.5,0.4,0,1.98,1.82,55.28,32.72
robot1,2.0,3.141592653589793,1.5,0.5,0,1.63,1.68,78.08,44.63
robot2,2.0,3.141592653589793,1.5,0.5,0,1.84,1.76,62.34,35.04
robot1,2.0,3.141592653589793,1.6,0.2,0,1.23,1.84,19.92,55.37
robot2,2.0,3.141592653589793,1.6,0.2,0,1.60,1.88,19.53,41.66
robot1,2.0,3.141592653589793,1.6,0.3,0,1.33,1.83,35.41,50.52
robot2,2.0,3.141592653589793,1.6,0.3,306,1.83,1.80,33.52,38.17
robot1,2.0,3.141592653589793,1.6,0.4,0,1.46,1.82,52.77,46.90
robot2,2.0,3.141592653589793,1.6,0.4,0,1.87,1.86,48.20,35.13
robot1,2.0,3.141592653589793,1.6,0.5,0,1.65,1.77,80.39,41.01
robot2,2.0,3.141592653589793,1.6,0.5,0,2.25,1.81,86.09,31.42
robot1,2.0,3.141592653589793,1.7,0.2,0,1.20,1.93,17.32,60.09
robot2,2.0,3.141592653589793,1.7,0.2,0,1.47,1.94,17.69,46.02
robot1,2.0,3.141592653589793,1.7,0.3,0,1.31,1.94,31.67,52.24
robot2,2.0,3.141592653589793,1.7,0.3,0,1.67,1.95,29.30,39.75
robot1,2.0,3.141592653589793,1.7,0.4,0,1.45,1.91,49.64,47.64
robot2,2.0,3.141592653589793,1.7,0.4,0,1.88,1.91,56.25,35.48
robot1,2.0,3.141592653589793,1.7,0.5,0,1.62,1.86,76.68,42.66
robot2,2.0,3.141592653589793,1.7,0.5,0,2.02,1.87,90.32,33.06
robot1,2.0,3.141592653589793,1.8,0.2,0,1.20,2.03,16.73,57.88
robot2,2.0,3.141592653589793,1.8,0.2,0,1.56,2.05,16.18,43.64
robot1,2.0,3.141592653589793,1.8,0.3,0,1.28,2.02,30.51,53.40
robot2,2.0,3.141592653589793,1.8,0.3,0,1.64,2.05,21.18,40.99
robot1,2.0,3.141592653589793,1.8,0.4,0,1.55,2.00,63.08,44.29
robot2,2.0,3.141592653589793,1.8,0.4,0,1.97,1.96,72.27,33.65
robot1,2.0,3.141592653589793,1.8,0.5,0,1.62,1.94,75.27,45.77
robot2,2.0,3.141592653589793,1.8,0.5,0,1.86,1.95,74.24,35.88
