robot,kd,kp,avg_distance_wall,correct_percentage_distance_wall,time_taken
robot1,0.1,3.695,1.5,91.75,44.3
robot2,0.1,3.695,,,
robot1,0.1,3.92,1.52,93.35,45.12
robot2,0.1,3.92,,,
robot1,0.3249999999999999,2.12,1.57,93.26,43.23
robot2,0.3249999999999999,2.12,1.79,86.76,33.73
robot1,0.3249999999999999,2.345,1.54,92.82,46.29
robot2,0.3249999999999999,2.345,1.88,77.88,36.74
robot1,0.3249999999999999,2.5700000000000003,1.56,94.25,44.1
robot2,0.3249999999999999,2.5700000000000003,,,
robot1,0.3249999999999999,2.795,1.54,92.73,43.93
robot2,0.3249999999999999,2.795,,,
robot1,0.3249999999999999,3.02,1.55,94.5,47.92
robot2,0.3249999999999999,3.02,1.83,87.0,38.11
robot1,0.3249999999999999,3.245,1.53,91.02,48.24
robot2,0.3249999999999999,3.245,1.91,80.41,38.33
robot1,0.3249999999999999,3.47,1.52,92.31,48.86
robot2,0.3249999999999999,3.47,1.53,82.28,38.93
robot1,0.3249999999999999,3.695,1.52,92.8,44.5
robot2,0.3249999999999999,3.695,,,
robot1,0.3249999999999999,3.92,1.49,90.59,48.57
robot2,0.3249999999999999,3.92,1.9,84.21,38.65
robot1,0.5499999999999999,2.12,1.59,92.99,42.95
robot2,0.5499999999999999,2.12,1.89,88.41,33.44
robot1,0.5499999999999999,2.345,1.58,94.3,43.09
robot2,0.5499999999999999,2.345,1.83,87.59,33.45
robot1,0.5499999999999999,2.5700000000000003,1.58,92.31,45.99
robot2,0.5499999999999999,2.5700000000000003,1.94,86.09,36.29
robot1,0.5499999999999999,2.795,1.58,91.88,44.34
robot2,0.5499999999999999,2.795,1.78,90.0,34.38
robot1,0.5499999999999999,3.02,1.54,90.45,47.58
robot2,0.5499999999999999,3.02,1.52,78.48,37.76
robot1,0.5499999999999999,3.245,1.55,92.27,45.33
robot2,0.5499999999999999,3.245,1.76,85.71,35.36
robot1,0.5499999999999999,3.47,1.54,93.52,45.6
robot2,0.5499999999999999,3.47,1.59,92.41,35.75
robot1,0.5499999999999999,3.695,1.54,92.87,46.1
robot2,0.5499999999999999,3.695,1.59,91.2,36.03
robot1,0.5499999999999999,3.92,1.51,91.87,44.8
robot2,0.5499999999999999,3.92,,,
robot1,0.7749999999999999,2.12,,,
robot2,0.7749999999999999,2.12,1.93,69.09,16.74
robot1,0.7749999999999999,2.345,1.58,95.3,45.53
